question_id,type,year,course,unit_after,topic_after,lesson_after,stem_status,choice_status,answer_status,math_status,katex_status,media_status,mapping_status,review_required,notes
APCALC-LEGACY-MCQ-1969-034,mcq,1969,AP Calculus AB,,Historical enrichment,,verified,verified,verified,verified,verified,not_required,unmapped,True,Orthogonal trajectories are not an exact current ECHS/AP lesson target.
APCALC-AB-FRQ-1969-01,frq,1969,AP Calculus AB,1,1.10 / 3.3 / Prerequisite,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1969-02,frq,1969,AP Calculus AB,4,4.2,APCALC-4.1 | APCALC-4.2,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,verified,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1969-03,frq,1969,AP Calculus AB,5,5.2 / 5.6 / 6.7,APCALC-5.2 | APCALC-5.6 | APCALC-6.7,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1969-04,frq,1969,AP Calculus AB,5,5.2 / 5.4,APCALC-5.2 | APCALC-5.4 | APCALC-5.6,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,verified,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1969-05,frq,1969,AP Calculus AB,8,8.4 / 8.8,APCALC-8.4 | APCALC-8.8 | APCALC-8.9,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1969-06,frq,1969,AP Calculus AB,6,6.6 / Modeling,APCALC-6.6 | APCALC-6.7,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1969-07,frq,1969,AP Calculus AB,2,2.3 / 1.15,APCALC-2.3 | APCALC-2.4 | APCALC-1.15,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1970-01,frq,1970,AP Calculus AB,8,2.9 / 8.4,APCALC-2.9 | APCALC-8.4,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1970-02,frq,1970,AP Calculus AB,,Prerequisite / 1.12,,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1970-03,frq,1970,AP Calculus AB,5,2.4 / 5.2 / 5.6,APCALC-2.4 | APCALC-5.2 | APCALC-5.6,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1970-04,frq,1970,AP Calculus AB,4,4.5,APCALC-4.4 | APCALC-4.3 | APCALC-4.5,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1970-05,frq,1970,AP Calculus AB,4,3.1 / 4.2,APCALC-3.1 | APCALC-4.2,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,verified,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1970-06,frq,1970,AP Calculus AB,8,8.8 / 5.10,APCALC-8.8 | APCALC-5.10,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1970-07,frq,1970,AP Calculus AB,6,6.2 / Mathematical proof enrichment,APCALC-6.2 | APCALC-6.6,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1971-01,frq,1971,AP Calculus AB,3,Prerequisite / 3.1,APCALC-1.2 | APCALC-3.1 | APCALC-3.4,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
APCALC-AB-FRQ-1971-02,frq,1971,AP Calculus AB,6,6.4 / 4.5,APCALC-6.4 | APCALC-6.8 | APCALC-4.5,uncertain,not_applicable,incomplete,blocked,syntax_checked_not_source_verified,missing,uncertain,True,"Retained in the canonical/admin archive; excluded from student practice pending source, answer, KaTeX, and/or mapping verification."
