question_id,issue_type,source_file,source_page,stored_value,proposed_value,evidence,computed_result,confidence,recommended_action
APCALC-LEGACY-MCQ-1969-001,public_release_blocked,AP Calculus historical archive,7; 1,B,,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,B,verified,Keep redacted from public student practice; verify source/transcription and obtain release authorization before promotion.
APCALC-LEGACY-MCQ-1969-002,public_release_blocked,AP Calculus historical archive,7; 1,C,,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,C,verified,Keep redacted from public student practice; verify source/transcription and obtain release authorization before promotion.
APCALC-LEGACY-MCQ-1969-003,public_release_blocked,AP Calculus historical archive,7; 1,B,,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,B,verified,Keep redacted from public student practice; verify source/transcription and obtain release authorization before promotion.
APCALC-LEGACY-MCQ-1969-004,public_release_blocked,AP Calculus historical archive,7; 1,D,,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,D,verified,Keep redacted from public student practice; verify source/transcription and obtain release authorization before promotion.
APCALC-LEGACY-MCQ-1969-005,public_release_blocked,AP Calculus historical archive,7; 1,E,,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,E,verified,Keep redacted from public student practice; verify source/transcription and obtain release authorization before promotion.
APCALC-LEGACY-MCQ-1969-006,public_release_blocked,AP Calculus historical archive,8; 2,B,,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,B,verified,Keep redacted from public student practice; verify source/transcription and obtain release authorization before promotion.
APCALC-LEGACY-MCQ-1969-007,public_release_blocked,AP Calculus historical archive,8; 2,D,,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,D,verified,Keep redacted from public student practice; verify source/transcription and obtain release authorization before promotion.
APCALC-LEGACY-MCQ-1969-008,public_release_blocked,AP Calculus historical archive,8; 2,B,,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,B,verified,Keep redacted from public student practice; verify source/transcription and obtain release authorization before promotion.
APCALC-LEGACY-MCQ-1969-009,public_release_blocked,AP Calculus historical archive,8; 2,C,,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,C,verified,Keep redacted from public student practice; verify source/transcription and obtain release authorization before promotion.
APCALC-LEGACY-MCQ-1969-010,public_release_blocked,AP Calculus historical archive,8; 2,E,,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,E,verified,Keep redacted from public student practice; verify source/transcription and obtain release authorization before promotion.
APCALC-LEGACY-MCQ-1969-011,public_release_blocked,AP Calculus historical archive,8; 2,B,,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,B,verified,Keep redacted from public student practice; verify source/transcription and obtain release authorization before promotion.
